source_span_id,query_id,parent_source_span_id,parent_query_id,repo_id,owner_repo,head_sha,path,line_start,line_end,evidence_text,evidence_text_sha256,source_file_sha256,local_relpath,source_snapshot_scope
v53e_0029_span_001,v53e_0029,v53d_0020_span_001,v53d_0020,fastapi_fastapi,fastapi/fastapi,b31720337af8b5ba5c78e4f0c44ac0ce25d7a5e2,pyproject.toml,261,261,[tool.coverage.html],sha256:d289717a8de43265fa341045ad9ade942d2d936cb3fa66284da4ace424abce27,sha256:e7aa37e64103ba05507140fcfbe8da41348645fd9cb7c3ee9a674a7e149d8b92,source_canary/fastapi__fastapi/pyproject.toml,canary
v53e_0030_span_001,v53e_0030,v53d_0022_span_001,v53d_0022,pallets_click,pallets/click,8a1b1a33d739be05b7e91251e3c0dde77c5e152f,README.md,8,8,sensible defaults out of the box.,sha256:4fe11cd096b76494a7643450ef53c6534c654d15503ebd77f28525bc731c66d2,sha256:4c3de4aa0918deac2f712facacd1dc30a8cc4627d0118dd290292ab0af65ca0b,source_canary/pallets__click/README.md,canary
v53e_0031_span_001,v53e_0031,v53d_0033_span_001,v53d_0033,pallets_flask,pallets/flask,36e4a824f340fdee7ed50937ba8e7f6bc7d17f81,README.md,16,16,[WSGI]: https://wsgi.readthedocs.io/,sha256:4f84956f9da8095fcd911d0f24149c725e28103e462d1e78123b6cded3bfd408,sha256:1f2de14735b1ee9d3a342fa7c5d5e87b95727276c0a56c8a9d77221f37880602,source_canary/pallets__flask/README.md,canary
v53e_0032_span_001,v53e_0032,v53d_0039_span_001,v53d_0039,pallets_flask,pallets/flask,36e4a824f340fdee7ed50937ba8e7f6bc7d17f81,examples/javascript/pyproject.toml,12,12,"Documentation = ""https://flask.palletsprojects.com/patterns/javascript/""",sha256:99d6b624e046735da41c6322f4b3c344d57fc3b92ab9ade04ebb621ec1db0cb6,sha256:2efeb4bc2175dd05aa6452dd11ed761cbeb278bb3ce1de6aca2ed0caf29ce12a,source_canary/pallets__flask/examples/javascript/pyproject.toml,canary
v53e_0033_span_001,v53e_0033,v53d_0045_span_001,v53d_0045,psf_requests,psf/requests,6f66281a1d6326b1b9c4ac09ca30de0fc4e6ef43,pyproject.toml,9,9,"license = {text = ""Apache-2.0""}",sha256:5cc9a6121bba3dc8672d5e9d7fad5fee4d9ce91e890a5d15a22e525b7806f379,sha256:345f26b9f691435e39d0eb6f7f4150a390f43175b22f8d61ac95e7f2827f0a77,source_canary/psf__requests/pyproject.toml,canary
v53e_0034_span_001,v53e_0034,v53d_0050_span_001,v53d_0050,psf_requests,psf/requests,6f66281a1d6326b1b9c4ac09ca30de0fc4e6ef43,pyproject.toml,108,108,"quote-style = ""double""",sha256:473a4682e268564a4befb1170aec076c982ef4f0fa7b3f0f92b7b6f2efd67b3d,sha256:345f26b9f691435e39d0eb6f7f4150a390f43175b22f8d61ac95e7f2827f0a77,source_canary/psf__requests/pyproject.toml,canary
v53e_0035_span_001,v53e_0035,v53d_0056_span_001,v53d_0056,pypa_pip,pypa/pip,486db076e2f4f0bf6780c24cd487f09dc2a14015,pyproject.toml,177,177,"# trim vendored pygments styles, lexers, formatters, and CLI",sha256:f3ac81fe53bcdcef9e922f31db8aa840eeaa43606a66029dba36ff99cc6c89c7,sha256:5fa492fbec3cace968f9aff374558a922806cf373fb49b18e266b61558df79b3,source_canary/pypa__pip/pyproject.toml,canary
v53e_0036_span_001,v53e_0036,v53d_0057_span_001,v53d_0057,pypa_pip,pypa/pip,486db076e2f4f0bf6780c24cd487f09dc2a14015,pyproject.toml,252,252,"""tests"" = [""tests""]",sha256:3c4dd8a969d09cae324a3a8abc199e032493b4c28b477958d28f9dd8114c12b3,sha256:5fa492fbec3cace968f9aff374558a922806cf373fb49b18e266b61558df79b3,source_canary/pypa__pip/pyproject.toml,canary
v53e_0037_span_001,v53e_0037,v53d_0058_span_001,v53d_0058,pypa_pip,pypa/pip,486db076e2f4f0bf6780c24cd487f09dc2a14015,pyproject.toml,288,288,[[tool.mypy.overrides]],sha256:2b9307afaa4c23c007d94ab431659e1582fca0186ac779c77f1f37ee30107846,sha256:5fa492fbec3cace968f9aff374558a922806cf373fb49b18e266b61558df79b3,source_canary/pypa__pip/pyproject.toml,canary
v53e_0038_span_001,v53e_0038,v53d_0062_span_001,v53d_0062,pypa_sampleproject,pypa/sampleproject,621e4974ca25ce531773def586ba3ed8e736b3fc,README.md,24,24,[reStructuredText][rst] or [markdown][md use] with the appropriate [key set][md,sha256:db26b0fa843f26b6df82eaf054eb2d93f1ada07371ee0bcd32379b7de746db86,sha256:0ee0ddefd61fb532db9cd7d5aada5b2bf505d4f01c108965c3888ae6efffb297,source_canary/pypa__sampleproject/README.md,canary
v53e_0039_span_001,v53e_0039,v53d_0064_span_001,v53d_0064,pypa_sampleproject,pypa/sampleproject,621e4974ca25ce531773def586ba3ed8e736b3fc,pyproject.toml,24,24,# And where it will live on PyPI: https://pypi.org/project/sampleproject/,sha256:4bc26fc814f426bed5a6dc293c1ac424e85707db5c8e16b845eafc821bf75a16,sha256:e4ce3af8b9396db683e4f967f09562cd2b61017f3c9b31ef7eb810cb24c6d206,source_canary/pypa__sampleproject/pyproject.toml,canary
v53e_0040_span_001,v53e_0040,v53d_0070_span_001,v53d_0070,pypa_sampleproject,pypa/sampleproject,621e4974ca25ce531773def586ba3ed8e736b3fc,pyproject.toml,141,141,"# issues, where the source is hosted, where to say thanks to the package",sha256:688c7a4296aee93d7adab777c139ca4a3e9026b5db857cac5a4d1db0568d1a09,sha256:e4ce3af8b9396db683e4f967f09562cd2b61017f3c9b31ef7eb810cb24c6d206,source_canary/pypa__sampleproject/pyproject.toml,canary
v53e_0041_span_001,v53e_0041,v53d_0077_span_001,v53d_0077,pytest_dev_pytest,pytest-dev/pytest,a8ac094e80df788aec844794170b126eab0be7a4,pyproject.toml,420,420,# https://github.com/pexpect/pexpect/issues/827,sha256:fdef3c446c0a3ca1f3057a5f7e20169eb8949cca7e62673b22aa87e71a4c8eb7,sha256:e1e42d06821c51f2e5d1006ca6aefc389875451da0e29e2260e61817127a1dc6,source_canary/pytest_dev__pytest/pyproject.toml,canary
v53e_0042_span_001,v53e_0042,v53d_0078_span_001,v53d_0078,pytest_dev_pytest,pytest-dev/pytest,a8ac094e80df788aec844794170b126eab0be7a4,pyproject.toml,513,513,"directory = ""feature""",sha256:051a7a3233cd71f28b2ccb08f8a527fcf8706ccd18f0a6faec913c98478c00c9,sha256:e1e42d06821c51f2e5d1006ca6aefc389875451da0e29e2260e61817127a1dc6,source_canary/pytest_dev__pytest/pyproject.toml,canary
v53e_0043_span_001,v53e_0043,v53d_0079_span_001,v53d_0079,pytest_dev_pytest,pytest-dev/pytest,a8ac094e80df788aec844794170b126eab0be7a4,tox.ini,21,21,# checks that 3.11 native ExceptionGroup works with exceptiongroup,sha256:1964008429229a51560bfc432f0ffafeeffeb6ab7f998cff357bcc23940ec8a0,sha256:cfec44f3d81d294668de27a055a756c744686968ff5d22e184a9c44c4d2a6f62,source_canary/pytest_dev__pytest/tox.ini,canary
v53e_0044_span_001,v53e_0044,v53d_0089_span_001,v53d_0089,python_cpython,python/cpython,8c0e2515bb0059b75e264cc5baeb27bb17337c83,Doc/README.rst,116,116,see the make targets above).,sha256:e3517fe644f024f2262de8fe6e70f1f3187bc51405ff0039d66505ff49a5865e,sha256:cb7019df5bf42107feea8fd25305e299d6f81a4ee83630aaafd0675905d4d21b,source_canary/python__cpython/Doc/README.rst,canary
v53e_0045_span_001,v53e_0045,v53d_0090_span_001,v53d_0090,python_cpython,python/cpython,8c0e2515bb0059b75e264cc5baeb27bb17337c83,Doc/README.rst,132,132,`Python bug tracker <https://github.com/python/cpython/issues>`_.,sha256:b1293995ee7b46eb4dc086a78043a92ab2cdb9a6b008d244dc9baebc383ab832,sha256:cb7019df5bf42107feea8fd25305e299d6f81a4ee83630aaafd0675905d4d21b,source_canary/python__cpython/Doc/README.rst,canary
v53e_0046_span_001,v53e_0046,v53d_0092_span_001,v53d_0092,tiangolo_typer,tiangolo/typer,dacdc4349df29dd1d43310d727f80d85cb5643e6,README.md,68,68,def main(name: str):,sha256:1bf0929c87493ddd338ed491177f437f4dc92898f3f84157e9df2bcfb5ed4c0a,sha256:fbe9ce39df753bea927dadd36d68b579a772bd5701fcfbcbd7f7d97f4f54c95e,source_canary/tiangolo__typer/README.md,canary
v53e_0047_span_001,v53e_0047,v53d_0093_span_001,v53d_0093,tiangolo_typer,tiangolo/typer,dacdc4349df29dd1d43310d727f80d85cb5643e6,README.md,136,136,Now you could run it with Python directly:,sha256:b392ae8d2ebb5b8bfbc32ed429cbe4e0444dfc9f607cf566cee3993e0c8b5c28,sha256:fbe9ce39df753bea927dadd36d68b579a772bd5701fcfbcbd7f7d97f4f54c95e,source_canary/tiangolo__typer/README.md,canary
v53e_0048_span_001,v53e_0048,v53d_0100_span_001,v53d_0100,tiangolo_typer,tiangolo/typer,dacdc4349df29dd1d43310d727f80d85cb5643e6,pyproject.toml,180,180,"""docs_src/parameter_types/enum/tutorial003_an_py310.py"" = [""B006""]",sha256:aa30bf7bfe4c6cfe076e5ae94c2f34ae5efc144c17a1e04d894ba56f08b0c9f2,sha256:0720203ff3ff5359f7bc79f3e174c41286d64d9eb42b25bf049c9245a551d552,source_canary/tiangolo__typer/pyproject.toml,canary
v53e_0049_span_001,v53e_0049,v53d_0003_span_001,v53d_0003,django_django,django/django,17a56cd6e600cfb02972657e8958b5ee2e0f936e,README.rst,44,44,"``docs/internals/contributing/writing-code/unit-tests.txt``, published online at",sha256:5d366ca3d63295cbbf9fc00a9cc850e5b489e257fa64fa89af7b668e2952385a,sha256:17c3550b268b902983fd4a4decd9a475bb8725c0941e016d29c6b7bf62273eab,source_canary/django__django/README.rst,canary
v53e_0050_span_001,v53e_0050,v53d_0004_span_001,v53d_0004,django_django,django/django,17a56cd6e600cfb02972657e8958b5ee2e0f936e,pyproject.toml,15,15,"{name = ""Django Software Foundation"", email = ""foundation@djangoproject.com""},",sha256:4c397b183ceda98542976d7df7629db58000e9a826da353d119cde5fb71b3289,sha256:9442fea5438e1078049605455d3b489ec8dc5a8d4dc333e2849c330706dc8258,source_canary/django__django/pyproject.toml,canary
v53e_0051_span_001,v53e_0051,v53d_0006_span_001,v53d_0006,django_django,django/django,17a56cd6e600cfb02972657e8958b5ee2e0f936e,pyproject.toml,45,45,"django-admin = ""django.core.management:execute_from_command_line""",sha256:a9034ad5544cbdfe2b49d25fa4820665457f8baa5c1a7b71e29c9530885cec55,sha256:9442fea5438e1078049605455d3b489ec8dc5a8d4dc333e2849c330706dc8258,source_canary/django__django/pyproject.toml,canary
v53e_0052_span_001,v53e_0052,v53d_0019_span_001,v53d_0019,fastapi_fastapi,fastapi/fastapi,b31720337af8b5ba5c78e4f0c44ac0ce25d7a5e2,pyproject.toml,180,180,"""pytest-sugar>=1.0.0"",",sha256:a1e3c19747c45b2250dab96774213f795a127b6151ec2b041e40cb8599e9dbbb,sha256:e7aa37e64103ba05507140fcfbe8da41348645fd9cb7c3ee9a674a7e149d8b92,source_canary/fastapi__fastapi/pyproject.toml,canary
v53e_0053_span_001,v53e_0053,v53d_0020_span_001,v53d_0020,fastapi_fastapi,fastapi/fastapi,b31720337af8b5ba5c78e4f0c44ac0ce25d7a5e2,pyproject.toml,261,261,[tool.coverage.html],sha256:d289717a8de43265fa341045ad9ade942d2d936cb3fa66284da4ace424abce27,sha256:e7aa37e64103ba05507140fcfbe8da41348645fd9cb7c3ee9a674a7e149d8b92,source_canary/fastapi__fastapi/pyproject.toml,canary
v53e_0054_span_001,v53e_0054,v53d_0022_span_001,v53d_0022,pallets_click,pallets/click,8a1b1a33d739be05b7e91251e3c0dde77c5e152f,README.md,8,8,sensible defaults out of the box.,sha256:4fe11cd096b76494a7643450ef53c6534c654d15503ebd77f28525bc731c66d2,sha256:4c3de4aa0918deac2f712facacd1dc30a8cc4627d0118dd290292ab0af65ca0b,source_canary/pallets__click/README.md,canary
v53e_0055_span_001,v53e_0055,v53d_0033_span_001,v53d_0033,pallets_flask,pallets/flask,36e4a824f340fdee7ed50937ba8e7f6bc7d17f81,README.md,16,16,[WSGI]: https://wsgi.readthedocs.io/,sha256:4f84956f9da8095fcd911d0f24149c725e28103e462d1e78123b6cded3bfd408,sha256:1f2de14735b1ee9d3a342fa7c5d5e87b95727276c0a56c8a9d77221f37880602,source_canary/pallets__flask/README.md,canary
v53e_0056_span_001,v53e_0056,v53d_0039_span_001,v53d_0039,pallets_flask,pallets/flask,36e4a824f340fdee7ed50937ba8e7f6bc7d17f81,examples/javascript/pyproject.toml,12,12,"Documentation = ""https://flask.palletsprojects.com/patterns/javascript/""",sha256:99d6b624e046735da41c6322f4b3c344d57fc3b92ab9ade04ebb621ec1db0cb6,sha256:2efeb4bc2175dd05aa6452dd11ed761cbeb278bb3ce1de6aca2ed0caf29ce12a,source_canary/pallets__flask/examples/javascript/pyproject.toml,canary
v53e_0057_span_001,v53e_0057,v53d_0045_span_001,v53d_0045,psf_requests,psf/requests,6f66281a1d6326b1b9c4ac09ca30de0fc4e6ef43,pyproject.toml,9,9,"license = {text = ""Apache-2.0""}",sha256:5cc9a6121bba3dc8672d5e9d7fad5fee4d9ce91e890a5d15a22e525b7806f379,sha256:345f26b9f691435e39d0eb6f7f4150a390f43175b22f8d61ac95e7f2827f0a77,source_canary/psf__requests/pyproject.toml,canary
v53e_0058_span_001,v53e_0058,v53d_0050_span_001,v53d_0050,psf_requests,psf/requests,6f66281a1d6326b1b9c4ac09ca30de0fc4e6ef43,pyproject.toml,108,108,"quote-style = ""double""",sha256:473a4682e268564a4befb1170aec076c982ef4f0fa7b3f0f92b7b6f2efd67b3d,sha256:345f26b9f691435e39d0eb6f7f4150a390f43175b22f8d61ac95e7f2827f0a77,source_canary/psf__requests/pyproject.toml,canary
v53e_0059_span_001,v53e_0059,v53d_0056_span_001,v53d_0056,pypa_pip,pypa/pip,486db076e2f4f0bf6780c24cd487f09dc2a14015,pyproject.toml,177,177,"# trim vendored pygments styles, lexers, formatters, and CLI",sha256:f3ac81fe53bcdcef9e922f31db8aa840eeaa43606a66029dba36ff99cc6c89c7,sha256:5fa492fbec3cace968f9aff374558a922806cf373fb49b18e266b61558df79b3,source_canary/pypa__pip/pyproject.toml,canary
v53e_0060_span_001,v53e_0060,v53d_0057_span_001,v53d_0057,pypa_pip,pypa/pip,486db076e2f4f0bf6780c24cd487f09dc2a14015,pyproject.toml,252,252,"""tests"" = [""tests""]",sha256:3c4dd8a969d09cae324a3a8abc199e032493b4c28b477958d28f9dd8114c12b3,sha256:5fa492fbec3cace968f9aff374558a922806cf373fb49b18e266b61558df79b3,source_canary/pypa__pip/pyproject.toml,canary
